"WorkoutType","WorkoutDescription","ExerciseDescription","Code","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes"
"Swim","-400 Easy w/u -6 x 100 (25 scull, 25 dog paddle, 50 swim) :10RI -5 x (200 on 4:30, 100 on 2:15) -200 EASY c/d","Custom","Custom","1","2700","9/1/2016","","2700","","","","","0.996953893237644","0.752272699410775","","19","","","","","","0.830943216500918","57.2","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","9/1/2016","","14285.6396484375","","","","","0.717356635199653","5.53200006484985","","52","","90","112","","","0.591876823060965","27.6","41","2","0","0","0","","","","","","","","","","","","","","",""
"Swim","1 x 400 easy warm-up mix 6 x 50 drill/swim Drill=straight-arm on :20 RI 9 x 50 swim w/ ""15 RI (1st 3 build, 2nd 3 reverse build, 3rd 3 FAST) 100 EASY 6 x 75 (25 EASY, 25 FAST, 25 EASY) :15RI 100 EASY 6 x 100 descending (1-3) on 2:20 1 x 200 easy recovery","","","0.833333333333333","2600","9/2/2016","Feeling a little tight in my glutes with some soreness in the old area decided to clean the garage instead.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","LOW HR! Run 9min, WALK 1 min","Custom","Custom","0.75","","9/2/2016","","5680.98607756075","","","","","0.793611111111111","1.98844454937373","","","","74","80","","","0.468539617895951","10.98","28","0","0","0","0","","","","","","","","","","","","","","",""
"Run","First 45min, EASY. Last 45min MODERATE (close to your HM Pace)","Custom","Custom","1.5","","9/3/2016","","11279.150390625","","","","","1.38086466471354","2.26900005340576","","","","124","167","","","0.762596959768118","89.68","12","43","18","8","1","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","9/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","Just NOT HARD! Enjoy riding again...","","","2.5","","9/4/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","https://www.trainerroad.com/cycling/workouts/180850-15-10-5-build","Custom","Custom","1","","9/5/2016","","23642.9609375","","","","","1.23179022894965","5.33199977874756","","55","","87","144","","","0.57634402990274","45.55","67","3","4","0","0","","","","","","","","","","","","","","",""
"Swim","1 x 200 w/u 3 x 200 w/fins (100 kick on back, 6+3, 50 swim) 6 x 50 PB&P (count strokes) on :10 RI 8 x 25 Kick (no fins) on :45 5 x 300 steady swim on 6:45 (#1-Fist/swim by 25's, #2 & 3-swim, #4- PB only, #5 PB & P) 1 x 200 w/d","Custom","Custom","1","3000","9/6/2016","","3000","","","","","1.12555555555556","0.740375123395854","","18","","","","","","0.842230459987873","47.34","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","9/6/2016","","19142.4296875","","","","","0.764443630642361","6.95599985122681","","60","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","The purpose of this activity is to both promote recovery and consistency of movement. The run should be very EZ and at a low HR. It will often function as an overall warm up prior to dynamic neuro-muscular activation set of exercises prior to a run workout.","Custom","Custom","0.566666666666667","3781.95947265625","9/6/2016","","3781.95957004752","","","","","0.566666666666667","1.8539017500233","","","","84","135","","","0.180422922930361","0.75","10","1","2","0","0","","","","","","","","","","","","","","",""
"Run","The purpose of this activity is to both promote recovery and consistency of movement while increasing mileage The run should be very EZ and at a low HR.","Custom","Custom","0.75","5391.30419921875","9/7/2016","","5178.77001953125","","","","","0.721186930338542","1.99500000476837","","","","97","137","","","0.610292031488401","29.51","24","16","3","0","0","","","","","","","","","","","","","","",""
"Run","-10min EASY w/u -5 x pickups (20sec build, 40sec EASY) -15 x (1min HARD, 1min EASY) -15min EASY c/d","Custom","Custom","1","","9/7/2016","These are TOUGH. Stay focused and try and keep same effort while maintaining form.","7637.83984375","","","","","0.991736111111111","2.13899993896484","","","","128","156","","","0.68482892935711","51.51","6","22","24","8","0","","","","","","","","","","","","","","",""
"Swim","-1 x 400 -8 x 50 Pull (Odds- 1 count pause, Evens- Zero pause) :10RI -8 x 50 Drill (Odds- Kayak, Evens- No pause) :10RI -1 x 200 wetsuit AND fins -10 x 100 on 2:15 + 10 seconds -1 x 200 easy recovery","Custom","Custom","1","2600","9/8/2016","","2575","","","","","0.885947781668769","0.80733961062089","","17","","","","","","0.891767754521367","62.83","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","","","0.666666666666667","","9/8/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","","","9/8/2016","","3701.7099609375","","","","","0.593880276150174","1.73099994659424","","","","85","140","","","0.545186046418785","19.3","26","9","1","0","0","","","","","","","","","","","","","","",""
"Swim","-400 EASY w/u -300 PB&P -200 kick on back w/fins -100: build 50, :10RI, reverse build 50 -5 x 300 (each 300 in this order: 100 PB&P, 100 PB, 100 free) :30 RI MOD Effort -200 EASY c/d","","","1","2468.8798828125","9/9/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","LOW HR! Run 9min, WALK 1 min","Custom","Custom","0.75","","9/9/2016","","5950.18994140625","","","","","0.838958333333333","1.97000002861023","","","","99","129","","","0.619003605145389","35.46","25","25","0","0","0","","","","","","","","","","","","","","",""
"Bike","-5min EASY w/u 95±5 rpm -5 x 30sec one legged @70rpm (each) -5 x (30sec pickups, 30sec EASY) - 4 x (30min Tempo (Sub LT) XXXw = MOD - HARD, 5 min EASY)","Custom","Custom","2.5","0","9/10/2016","","48784.16015625","","","","","2.17548800998264","6.22900009155273","","52","","100","145","","","0.600393594058642","88.57","91","34","5","0","0","","","","","","","","","","","","","","",""
"Other","","Custom","Custom","","","9/11/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","","","","","","9/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Day Off","","","","","","9/12/2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","","","9/12/2016","","3716.8798828125","","","","","0.593000013563368","1.74100005626678","","","","89","125","","","0.543857922290216","19.18","25","10","0","0","0","","","","","","","","","","","","","","",""
"Run","","Custom","Custom","","","9/12/2016","","3731.21997070313","","","","","0.607312215169271","1.70700001716614","","","","91","143","","","0.548049976181665","19.95","25","11","1","0","0","","","","","","","","","","","","","","",""
"Swim","1 x 200 w/u 6 x 100 w/fin (breath by 25s: 3, 5, 7, 3) 5 x 300 steady swim on 7:00 (descending 1-5 this means start easy and increase each 300) 1 x 200 w/d","Custom","Custom","1","2500","9/13/2016","","2500","","","","","0.827267503738403","0.839443639821781","","19","","","","","","0.936479066364611","67.94","","","","","","","","","","","","","","","","","","","",""
"Bike","Just get out and ride or stay indoors on Trainer. EASY pace to promote recovery!","Custom","Custom","1","","9/13/2016","Did this outside and it was WINDY! Just got this amount in before weather moved back in.","20688.83984375","","","","","0.857506646050347","6.7020001411438","","57","","121","151","","","0.663646955862881","41.68","7","26","18","1","0","","","","","","","","","","","","","","",""
"Run","NO timing or pacing equipment! Just go out and try and run around 45min. :)","Custom","Custom","0.75","","9/14/2016","","","","","","","0.833333333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim","-200 EASY w/u -5 x 100 (3c,2c,1c, swim) :15 RI (you can wear fins) -6 x 75 HOLD PACE on 1:40 -200 kick w/fins -20 x 25 HOLD PACE w/PB&P on :30 -200 EASY c/d","Custom","Custom","0.75","2000","9/15/2016","Ended up going long in my training with Paula Newby-Fraser and the rest if the day's schedule was impacted so I spent about 30 minutes working on technique in the pool here at the house.","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bike","-10 warm up to 95 rpm -5 x (30sec pickups, 30sec EASY) -1min EASY (Z2) @ 100 rpm -30sec @ 105 rpm, 30 sec EASY -30sec @ 110 rpm, 30 sec EASY -30sec @ 115 rpm, 30 sec EASY -30sec @ 120 rpm, 30 sec EASY -5min building to FTP (zone 4) -3min EASY -2min at VO2 watts (zone 5) -10min easy","Custom","Custom","0.666666666666667","","9/15/2016","","13911.2900390625","","","","","0.737721964518229","5.23799991607666","","43","","107","146","","","0.656081490028282","34.9","24","5","14","0","0","","","","","","","","","","","","","","",""
